รหัสโครงงาน,ชื่ออาจารย์ที่ปรึกษาโครงงาน,หัวข้อโครงงาน (ภาษาไทย),หัวข้อโครงงาน(ภาษาอังกฤษ),คลิปนำเสนอแบบสั้น (ไม่เกิน 5 นาที),คลิปนำเสนอแบบยาว (ไม่เกิน 20 นาที)
AAP-01,อ.ดร. อัจฉรา พิเชฐจำเริญ,การศึกษาการทำงานของระบบผลิตไฟฟ้าจากเซลล์แสงอาทิตย์ด้วยการจำลองแบบ Real-Time HIL,A Study on Photovoltaic Generation System by Real-Time HIL Simulation,https://youtu.be/Z4ELCkQTA_I,https://youtu.be/Mo7GWiQiLDg
AAP-01,อ.ดร. อัจฉรา พิเชฐจำเริญ,การศึกษาการทำงานของระบบผลิตไฟฟ้าจากเซลล์แสงอาทิตย์ด้วยการจำลองแบบ Real-Time HIL,A Study on Photovoltaic Generation System by Real-Time HIL Simulation,https://youtu.be/Z4ELCkQTA_I,https://youtu.be/Mo7GWiQiLDg
AAP-02,อ.ดร. อัจฉรา พิเชฐจำเริญ,การศึกษาการทำงานของระบบผลิตไฟฟ้าจากเซลล์แสงอาทิตย์ด้วยเทคนิค MPPT ด้วยโปรแกรม PSCAD,A Study on Photovoltaic Generation System with MPPT by PSCAD,https://www.youtube.com/watch?v=l0hQZuDGEsA,https://www.youtube.com/watch?v=IzGlfkxGI8Q
AAP-03,อ.ดร. อัจฉรา พิเชฐจำเริญ,การศึกษาเชิงเปรียบเทียบของเทคนิค MPPT ในระบบเซลล์แสงอาทิตย์,A comparative study of MPPT techniques for PV system,https://youtu.be/FizcWSOsMlI,https://youtu.be/3ScXOkLkSdQ
CGG-01,ผศ.ดร. ชูเกียรติ การะเกตุ,อุปกรณ์ดูแลต้นไม้อัจฉริยะสำหรับผู้มีพื้นที่จำกัด,Tree Care Equipment for Little Space,https://youtu.be/al99ifwbYLs,https://youtu.be/5-qRZa_Jor8
CRM-01,รศ.ดร.เชาวลิต มิตรสันติสุข,การจัดการข้อมูลเรียลไทม์ของหุ่นยนต์ร่วมปฏิบัติงานโดยใช้ Scada,Data Real-time Monitoring of Collaborative Robot by Using Scada,https://youtu.be/Pq3qdIDhxvk,https://youtu.be/kgysfO_YuUc
CRM-02,รศ.ดร.เชาวลิต มิตรสันติสุข,การศึกษาและพัฒนา Scada เพื่อควบคุมระบบอัตโนมัติ,The study and development of Scada for monitoring automation ,https://youtu.be/UR-Nfn-mpAE,https://youtu.be/lepp3NyPx9k
CRM-03,รศ.ดร.เชาวลิต มิตรสันติสุข,การพัฒนาระบบควบคุม servo motor ด้วยระบบประมวลผลภาพ,The development of image processing for servo motor control system,https://youtu.be/v7W2ACyQutk,https://youtu.be/FEzLpAGY4yc
CRM-04,รศ.ดร.เชาวลิต มิตรสันติสุข,การพัฒนาการเคลื่อนที่ของหุ่นยนต์ด้วยซอฟท์แวร์ CAD/CAM,Developing Robot Motion with CAD/CAM Software,https://youtu.be/StmnpaJ__Rc,https://youtu.be/HcsDdk1iCbA
CRM-05,รศ.ดร.เชาวลิต มิตรสันติสุข,ระบบควบคุม AGV อัจฉริยะ,Intelligent AGV Control System,https://youtu.be/lPEtB7quHL8,https://youtu.be/GgsmJOspR14
DUR-01,ผศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,ผลกระทบจากการชาร์จประจุของรถไฟฟ้าต่อหม้อแปลงจำหน่าย,Impacts of Charging EVs on Distribution Transformers,https://youtu.be/rDl--v-Fes8,https://youtu.be/2LMm7IjZnvk
DUR-01,ผศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,ผลกระทบจากการชาร์จประจุของรถไฟฟ้าต่อหม้อแปลงจำหน่าย,Impacts of Charging EVs on Distribution Transformers,https://youtu.be/rDl--v-Fes8,https://youtu.be/2LMm7IjZnvk
DUR-01,ผศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,ผลกระทบจากการชาร์จประจุของรถไฟฟ้าต่อหม้อแปลงจำหน่าย,Impacts of Charging EVs on Distribution Transformers,https://youtu.be/rDl--v-Fes8,https://youtu.be/2LMm7IjZnvk
DUR-02,ผศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,การศึกษาดัชนีความเชื่อถือได้ของระบบจำหน่าย,Electric Power Distribution Reliability Indices,https://youtu.be/BaQaGlExcRY,https://youtu.be/NGqPbCq61JQ
DUS-01,ผศ.ดร. ดุสิต ธนเพทาย,อุปกรณ์ตรวจสอบความผิดปกติของการเต้นของหัวใจในสภาวะ Atrial Fibrillation,Cardiac abnormalities monitoring devices for atrial fibrillation,https://youtu.be/mTUo-i9t2UI,https://youtu.be/wZpddcaSmYI
ECP-01,รศ.ดร.เอกชัย ไพศาลกิตติสกุล,บอทสำหรับเทรดหุ้นอัตโนมัติ,Stock trading bot,https://www.youtube.com/watch?v=xwy6RcS5X04,https://www.youtube.com/watch?v=WG28yFw_20Q
ECP-02,รศ.ดร.เอกชัย ไพศาลกิตติสกุล,การโคลนเสียง,Voice Cloning,https://youtu.be/LZoGDNTf2N0,https://youtu.be/mk49ZYyKSSY
KPSC-01,ผศ.ดร.กาญจนพันธ์ สุขวิชชัย,การพัฒนาระบบควบคุมเครื่องฟอกอากาศอัจฉริยะ,Development of An Automatic Smart Air Purifier System ,https://youtu.be/1cORzVAg21Y,https://youtu.be/46Icyv4SPw0
KPSC-02,ผศ.ดร.กาญจนพันธ์ สุขวิชชัย,"ระบบจัดการพลังงานไฟฟ้าจากแหล่งจ่ายหลายแหล่ง โดยใช้ข้อมูลการใช้และการเก็บพลังงาน
","Multi-electrical sources management system based on energy consumption and storage
", https://youtu.be/REnB9ZnmAp4,https://youtu.be/e4drSSs9-a4
KSH-01,ผศ.ดร.คมสันต์ หงษ์สมบัติ,การออกแบบระบบพลังงานหมุนเวียนแบบผสมผสาน,Hybrid Renewable Energy System Design,https://youtu.be/zlUGt-P0Vv8,https://youtu.be/3EpGnsF_SbY
KSH-02,ผศ.ดร.คมสันต์ หงษ์สมบัติ,การศึกษาการเปลี่ยนรถโดยสารประจำทางของบขส. เป็นไฟฟ้า,"Study of converting buses (THE TRANSPORT CO. ,LTD) to electric buses",https://youtu.be/2F1YPoQ67Rc,https://youtu.be/956SX57m4B8
KSH-03,ผศ.ดร.คมสันต์ หงษ์สมบัติ,การจำลองการซื้อขายพลังงานไฟฟ้าสำหรับตลาดดีมานด์เรสปอนส์,Simulation of Demand Response Market,shorturl.at/djoyS,shorturl.at/tuBW1
MTR-01,รศ.ดร.มิติ รุจานุรักษ์,วิทัศน์สเตอริโอเพื่อประเมินพื้นที่ในการลงจอดอัตโนมัติของอากาศยานปีกยึด,Stereo Vision for Fixed-Wing Aerial Vehicle Landing Area Evaluation,https://youtu.be/IEgl41fu2ik,https://youtu.be/_8nv2xxuBVA
