รหัสโครงงาน,ชื่ออาจารย์ที่ปรึกษาโครงงาน,หัวข้อโครงงาน (ภาษาไทย),หัวข้อโครงงาน(ภาษาอังกฤษ),คลิปนำเสนอแบบสั้น (ไม่เกิน 5 นาที),คลิปนำเสนอแบบยาว (ไม่เกิน 20 นาที)
APP-01,อ.ดร. อัจฉรา พิเชฐจำเริญ,อุปกรณ์บันทึกข้อมูลค่าพลังไฟฟ้าสำหรับแหล่งจ่ายกระแสตรง,Energy Data Logger for DC Power Source,https://www.youtube.com/watch?v=TqdAvTz7RVI,https://www.youtube.com/watch?v=yvIOmdelB4o
APP-01,อ.ดร. อัจฉรา พิเชฐจำเริญ,อุปกรณ์บันทึกข้อมูลค่าพลังไฟฟ้าสำหรับแหล่งจ่ายกระแสตรง,Energy Data Logger for DC Power Source,https://www.youtube.com/watch?v=TqdAvTz7RVI,https://www.youtube.com/watch?v=yvIOmdelB4o
APP-02,อ.ดร. อัจฉรา พิเชฐจำเริญ,การศึกษาคุณลักษณะของลิเทียมแบตเตอรี่ในระบบผลิตไฟฟ้าด้วยแสงอาทิตย์,Study on Lithium battery characteristic in PV generation system,https://youtu.be/l7LTI18EqxM,https://youtu.be/uI-kU7zWWy0
APP-03,อ.ดร. อัจฉรา พิเชฐจำเริญ,การศึกษาการทำงานของการควบคุมกำลังไฟฟ้า โดยวิธีควบคุมอัตราการลาดเอียงในระบบพลังงานแสงอาทิตย์,Study on Power Ramp-rate Control in PV Generation System,https://youtu.be/vcM6wlicbps,https://youtu.be/vRyubDpL8oU
CRM-01,รศ.ดร.เชาวลิต มิตรสันติสุข,การศึกษา และพัฒนา SCADA เพื่อควบคุมระบบอัตโนมัติ,The study and development of SCADA for monitoring,https://www.youtube.com/watch?v=xGk3RwgebEI,https://www.youtube.com/watch?v=j-p1UOVz4d8
CRM-02,รศ.ดร.เชาวลิต มิตรสันติสุข,การออกแบบระบบควบคุมอุณหภูมิสำหรับหุ่นยนต์สเปรย์เคลือบฟิล์มบางอัตโนมัติ,Temperature Control System Design for Automatic Thin Film Spray Coating Robot,https://youtu.be/yjmcZ-zh0VQ,https://youtu.be/JKHgwqackV8
DCW-01,ผศ.ดร.เด่นชัย วรเศวต,โปรแกรมประยุกต์บนเว็บสำหรับอัตราการเต้นของหัวใจด้วยแสงแบบระยะไกล,Web application for rPPG ( Remote Photoplethysmography ),https://youtu.be/7_hqJbX-rR0,https://youtu.be/L8zjLB31KW8
DUR-01,รศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,การจัดกลุ่มพื้นที่จ่ายไฟฟ้าสําหรับการปรับปรุงความเชื่อถือได้,Dist﻿ribution Feeder Clustering for Reliability Improvement,https://youtu.be/L0xZYWElcws,https://youtu.be/xAYi27ifNmM
DUR-02,รศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,การสร้างแบบจำลองความเชื่อถือได้ของระบบจำหน่ายเพื่อการปรับปรุงความเชื่อถือได้,Reliability Modeling of Power Distribution Systems for Reliability Improvement,https://www.youtube.com/watch?v=qbm6f7sj5Z4,https://youtu.be/a_A4BxYPtG4
DUR-03,รศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,การปรับปรุงความเชื่อถือได้ของระบบจำหน่ายไฟฟ้า,Reliability Improvement of Power Distribution Systems,https://www.youtube.com/watch?v=PtzXFbg1eio&t=2s,https://www.youtube.com/watch?v=MEr7SAx0394&t=13s
DUS-01,ผศ.ดร. ดุสิต ธนเพทาย,การออกแบบวงจรภาคส่งของตัวอ่านข้อมูลเอนเอฟซี,Digital IC design: Transmission part of NFC reader,https://youtu.be/8YZ2JeIFQH8,https://youtu.be/gSpD_19bpak
